VIOLATION_TYPE_DESC,VIOLATION_CODE,VIOLATION_PROC_DESC,General_Violation_Category
P,P012,DISOBEYING OFFICIAL SIGN,Sign Violation
P,P170,FAILURE TO DISPLAY CURRENT TAGS,Tag/Registration Issue
P,P011,PARK MORE THAN 12 INCHES FROM CURB,Parking Violation
P,P159,NO STOPPING OR STANDING IN AM RUSH HOUR ZONE,Parking Violation
P,P168,NO FRONT TAGS.,Tag/Registration Issue
P,P304,INDIVID W/ DISABILITIES ONLY UNAUTH. USE RSRVD SP,Other
P,P007,PARK IN A BUS ZONE,Parking Violation
P,P055,NO PARKING ANYTIME,Other
P,P034,"METER, FAIL TO DEPOSIT PAYMENT",Meter Violation
P,P031,UNAUTHORIZED VEHICLE IN LOADING ZONE,Parking Violation
P,P344,VEHICLE ON PRIVATE/PUBLIC PROPERTY WITHOUT CONSENT,Other
P,P036,PARK IN OFFICIAL PARKING PERMIT ONLY SPACE,Other
P,P047,PARK ON SIDEWALK OR AREA RESERVED FOR PEDESTRIANS,Other
P,P302,GOVERNMENT VEHICLE PARKING ONLY,Other
P,P039,PARK AT EXPIRED METER,Meter Violation
P,P045,PARK IN RESERVED EMBASSY SPACE,Other
P,P002,STAND OR PARK IN ALLEY,Other
P,P113,FAIL TO DISPLAY CURRENT INSPECTION STICKER,Other
P,P010,OBSTRUCTING CROSSWALK,Other
P,P259,NO STOPPING OR STANDING IN PM RUSH HOUR ZONE,Parking Violation
P,P020,PARK WITHIN 10 FEET OF A FIRE HYDRANT,Other
P,P269,NO STANDING ANYTIME,Parking Violation
P,P319,PARK IN BUS STOP OR ZONE DURING RUSH HOUR,Parking Violation
P,P316,IMPROPER DISPLAY OF TAGS,Tag/Registration Issue
P,P315,ILLEGIBLE TAGS.,Tag/Registration Issue
P,P022,PARK ON TAXICAB STAND,Other
P,P029,PARK WITH LEFT WHEEL TO THE CURB,Parking Violation
P,P303,RESERVED RESIDENTIAL SPACE PERSONS W/ DISABILTIES,Other
P,P050,PARKED WITHIN 25 FEET OF A STOP SIGN,Sign Violation
P,P015,"OBSTRUCTING ENTRANCE OF PKG GARAGE, DOOR OR GATE",Other
P,P001,PARK ABREAST OF ANOTHER VEHICLE,Other
P,P429,"BUS LANE, UNAUTHORIZED VEHICLE PARKED IN",Other
V,P015,"OBSTRUCTING ENTRANCE OF PKG GARAGE, DOOR OR GATE",Other
P,P014,EMERGENCY NO PARKING,Other
P,P043,PARK TO REDUCE ROADWAY TO LESS THAN 10 FEET,Other
P,P385,"STOPPING, STANDING OR PARKING VEHICLE IN BIKE LANE",Parking Violation
P,P003,RESIDENTIAL PERMIT PKING BEYOND LIMIT W/O PERMIT,Other
P,P332,ABANDON VEHICLE ON PUBLIC/PRIVATE PROPERTY VIOL 1,Other
P,P017,EXCESSIVE IDLING.,Other
P,P318,"PARK IN MEDIAN, ISLAND, OR SAFETY ZONE",Parking Violation
P,P314,FAIL TO PROPERLY AFFIX VALIDATION STICKERS,Other
P,P322,PARK OVERTIME IN TIMED ZONE,Parking Violation
P,P104,FAIL TO DISPLAY CURRENT DC VEHICLE TAGS,Tag/Registration Issue
P,P059,PARK IN A FIRE LANE,Other
P,P271,NO STOPPING ANYTIME,Traffic Flow Violation
P,P069,NO REAR BUMPER,Other
P,P013,PARK WITHIN 5 FEET OF DRIVEWAY OR ALLEY,Other
P,P434,UNAUTHORIZED  USE IND. W/ DISABILITIES PARK PRIV,Other
P,P320,PARKED IN DRIVEWAY OR ALLEY TO OBSTRUCT SIDEWALK,Other
P,P270,NO STOPPING OR STANDING ANYTIME,Parking Violation
P,P056,NO PARKING 7 AM TO 6:30 PM,Other
P,P090,IMPROPERLY DISPLAYED TAGS,Tag/Registration Issue
P,P077,MOTOR RUNNING UNATTENDED,Other
P,P093,OBSTRUCTED TAGS.,Tag/Registration Issue
P,P005,PARK ON OR UNDER AN ELEVATED STRUCTURE,Other
P,P281,FAIL TO DISPLAY A MULTISPACE METER RECEIPT,Meter Violation
P,P280,EXPIRATION TIME ON METER RECEIPT LAPSED,Meter Violation
P,P284,EXPIRED MULTISPACE METER RECEIPT IN LOADING ZONE,Parking Violation
P,P199,PARK IN A DESIGNATED ENTRANCE,Sign Violation
P,P057,NO PARKING SPECIFIC HOURS,Other
P,P112,FAIL TO REPORT FOR INSPECTION.,Other
P,P169,NO REAR TAGS.,Tag/Registration Issue
P,P289,FAIL TO PROPERLY DISPLAY  MULTISPACE METER RECEIPT,Meter Violation
P,P307,PARK IN RESERVED SPACE FOR MOTORCYCLES ONLY,Other
P,P058,NO STANDING COMMERCIAL VEHICLE,Parking Violation
P,P018,OBSTRUCTING FIRE ESCAPE,Other
P,P278,FAIL TO DISPLAY MULTI-SPACE METER RECEIPT PROPERLY,Meter Violation
P,P097,PARKING MISC,Other
P,P331,TINTED WINDOWS,Other
P,P386,RELOCATE TOW FEE,Other
P,P306,"PARK ON MEDIAN, ISLAND, OR SAFETY ZONE",Parking Violation
P,P024,PARK LESS THAN 25 FEET FROM AN INTERSECTION,Other
P,P300,FAIL TO TURN WHEEL TO CURB.,Parking Violation
P,P404,"TINTED WINDOWS , FAIL TO COMPLY 1ST",Other
P,P023,OBSTRUCT AN INTERSECTION,Other
P,P072,FAIL TO LOCK AND REMOVE KEY FROM IGNITION WHEN PKD,Other
T,P417,NON-TAXI ON HACK STAND,Other
T,P120,TAXICAB LOITERING.,Other
P,P109,UNSAFE MECHANICAL CONDITION,Other
P,P111,EXPIRED INSPECTION REJECTION STICKER,Other
P,P172,FAILURE TO SECURE DC TAGS,Tag/Registration Issue
P,P173,NO PARKING STREET CLEANING,Other
P,P365,RESIDENTIAL PMT PKG 3RD OFFENSE CALENDAR YEAR,Other
P,P363,RESIDENTIAL PMT PKG 2ND OFFENSE CALENDAR YEAR,Other
P,P046,PARK IN SCHOOL ZONE,Parking Violation
P,P026,PARK ON A LAWN,Other
P,P311,PARK BETWEEN ISLAND OR SAFETY ZONE,Parking Violation
P,P037,PARK OVERTIME AT A METER,Meter Violation
P,P418,"STREETCAR-PARK, STOP  STAND VEH  GUIDEWAY/PLATFORM",Other
P,P338,DANGEROUS VEHICLE ON PRIV/PUBLIC PROP VIOL 1,Other
P,P413,"TRAILER, FRT DWELLING, SCHOOL, HOSPITAL",Other
P,P042,PARK ON PUBLIC SPACE,Other
P,P025,PARK LESS THAN 40 FEET FROM AN INTERSECTION,Other
P,P035,NOT PARKED IN A METER SPACE,Meter Violation
P,P016,OPP OR BESIDE CONTRUCTION SITE OBSTRUCTING TRAFFIC,Other
P,P216,FAIL TO DISPLAY MULTI SPACE RECEIPT  BALLPARKEVENT,Other
P,P282,PARKED IN A RESERVED CAR SHARING SPACE,Other
P,P430,IND. W/ DISABILITIES METER  NO PROOF OF PAYMENT,Meter Violation
P,P285,FAIL TO DISPLAY METER RECEIPT IN A LOADING ZONE,Parking Violation
P,P054,PARKED ON DESIGNATED VENDOR AREA,Sign Violation
P,P004,PARK VEHICLE IN FRONT OF A BARRICADE,Other
P,P410,"VEHICLE > 22'  PUBLIC ST FRT DWELLING,SCHOOL, HOSP",Other
P,P053,PARKED LESS THAN 3 FEET FROM ANOTHER VEHICLE,Other
P,P419,"STREETCAR-PARK, STOP  STAND VEH  GUIDEWAY/PLATFORM",Other
P,P040,FAIL TO PARK PARALLEL,Other
P,P373,NOT PARKED IN PARKING METER SPACE BZ,Meter Violation
P,P431,IND. W/ DISABILITIES AMOUNT OF PAYMENT HAS LAPSED,Other
P,P412,"VEHICLE HAUL TRASH, DEBRIS OR JUNK",Other
P,P396,RPP BEYOND 2 HOUR PERIOD W/O VALID PERMIT BZ,Other
P,P369,RPP BALLPARK ZONE 3RD OFFENSE CALENDAR YEAR,Parking Violation
P,P198,PARK WITHIN 20 FEET OF A BUS STOP OR ZONE,Parking Violation
P,P019,PARK WITHIN 20 FEET OF A FIREHOUSE ENTRANCE,Other
P,P367,RESIDENTIAL PMT PKG  BALLPARK ZONE 2ND OFF CAL YR,Parking Violation
P,P032,OVERSIZED COMM VEHICLE PARKED AT A METER,Meter Violation
P,P403,NO PARKING EXC. ELECTRIC VEHICLE WHILE PLUGGED IN,Other
P,P409,"VEH >15 PASS, PUBLIC ST FRT DWELLING, SCH, HOSP,",Other
P,P370,FAILURE TO DISPLAY MULI-SPACE RECEIPT PROPERLY BZ,Other
P,P239,EXPIRED HANDICAP METER,Meter Violation
P,P387,NOT PARKED IN PARKING METER SPACE  BE,Meter Violation
P,P421,"COMMERCIAL PMT PARK DECAL, FAIL DISPLAY PROPERLY",Other
P,P395,RPP BEYOND 2 HOUR PERIOD W/O VALID PERMIT BE,Other
P,P391,RPP BALLPARK EVENTS 2ND OFFENSE CALENDAR YEAR,Other
P,P411,"VEH > 8' WIDE PUBLIC ST, FRT DWELLING, SCHOOL,HOSP",Other
P,P346,VALET PARKING/STAGING ZONE,Tag/Registration Issue
